right_or_interest,source_id,jurisdiction,authority_class,legal_status,subject_or_trigger,protection_or_process,scope_limit,unknown_or_open
VULNERABILITY_EXPLOITATION,EU-001,EU,STATUTE_OR_REGULATION,BINDING_DATE_SPECIFIC,age disability or specific social/economic vulnerability plus Article 5(1)(b) elements,prohibition on specified exploitation causing material behavioural distortion and significant harm,narrow statutory trigger not general vulnerability rule,case classification not attempted
EMOTION_INFERENCE_WORK_EDUCATION,EU-001,EU,STATUTE_OR_REGULATION,BINDING_DATE_SPECIFIC,emotion inference in workplace or education,Article 5(1)(f) prohibition,medical/safety exception and biometric-data definition context preserved,other contexts require separate analysis
SENSITIVE_BIOMETRIC_CATEGORISATION,EU-001,EU,STATUTE_OR_REGULATION,BINDING_DATE_SPECIFIC,biometric categorisation deducing/infering listed sensitive characteristics,Article 5(1)(g) prohibition,statutory exceptions and scope preserved,other categorisation uses require separate analysis
AI_INTERACTION_DISCLOSURE,EU-001,EU,STATUTE_OR_REGULATION,BINDING_DATE_SPECIFIC,direct AI interaction with natural persons,Article 50(1) disclosure unless obvious plus stated exception,scope and law-enforcement safeguards preserved,system/context classification required
EMOTION_BIOMETRIC_DISCLOSURE,EU-001,EU,STATUTE_OR_REGULATION,BINDING_DATE_SPECIFIC,permitted emotion recognition or biometric categorisation,Article 50(3) exposure disclosure plus data-protection compliance,law-enforcement exception with safeguards,does not legalize otherwise prohibited use
DIGNITY_AND_INDIVIDUAL_AUTONOMY,INT-001,COE,TREATY_OR_INTERNATIONAL_INSTRUMENT,TREATY_FORM_NOT_TREATY_WIDE_IN_FORCE_R004,AI lifecycle activities,Article 7 treaty-text duty for Parties,R004 2026-09-12 Article 30 threshold unmet,no current treaty-wide obligation inferred
REMEDY_AND_CONTESTABILITY,INT-001,COE,TREATY_OR_INTERNATIONAL_INSTRUMENT,TREATY_FORM_NOT_TREATY_WIDE_IN_FORCE_R004,AI significantly affecting human rights,Articles 14-15 remedy information contest and procedural safeguards,R004 entry-into-force gate and domestic-law qualifiers control,domestic implementation not verified
DIGNITY_AGENCY_ETHICS,INT-003,UNESCO,SOFT_LAW_RECOMMENDATION,NONBINDING,AI lifecycle and affected persons,ethics framing for dignity rights agency autonomy and vulnerable persons,not statute/treaty/court holding,implementation varies
NEUROTECH_ETHICS_MENTAL_PRIVACY,INT-004,UNESCO,SOFT_LAW_RECOMMENDATION,NONBINDING,neurotechnology,certified-copy recommendation is research framing for neurotechnology rights and ethics,live body extraction shell-only in R011; no new clause-level proposition asserted,current implementation/state-specific law open
BRAIN_ACTIVITY_AND_DERIVED_INFORMATION,CL-001,CL,CONSTITUTIONAL_TEXT,BINDING_CHILE_SPECIFIC,scientific/technological development and use on persons,Ley 21.383 constitutional amendment specially safeguards brain activity and information derived from it,current constitutional text should be rechecked before broad jurisdiction-wide conclusion,sector statutes/remedies not analysed
GIRARDI_EMOTIV_CASE,CL-002,CL,BINDING_COURT_DECISION,CASE_ADMISSION_BLOCKED,official docket identity only,no holding admitted because official/accepted full text not verified,HTTP 200 anti-bot challenge is not full-text access,official full text remains open
COGNITIVE_LIBERTY_TERM,EU-001;EU-004;EU-005,EU,RESEARCH_LABEL,NOT_ESTABLISHED_AS_NAMED_RIGHT_BY_SELECTED_TEXTS,exact-term check,zero exact occurrences in selected controlled binding EU texts,R011 selected-source term result only; not universal negative finding,other jurisdictions/doctrine require separate research
