source_id,primary_pack,jurisdiction,title,document_id,authority_class,binding_state,official_url,preferred_ingest,priority,verification_state,last_verified,rights_or_use_state,notes
EU-003,NB02,EU,Product Liability Directive,Directive (EU) 2024/2853,STATUTE_OR_REGULATION,directive requiring Member State transposition,https://eur-lex.europa.eu/eli/dir/2024/2853/oj,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,Transposition deadline 9 Dec 2026; national implementation must be checked
EU-004,NB02,EU,Charter of Fundamental Rights of the European Union,2016/C 202/02,CONSTITUTIONAL_TEXT,binding within scope of EU law,https://eur-lex.europa.eu/eli/treaty/char_2016/oj/eng,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,Record scope-of-application limits
EU-005,NB02,EU,General Data Protection Regulation,Regulation (EU) 2016/679,STATUTE_OR_REGULATION,binding EU regulation,https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,URL_DIRECT_PREFERRED,P0,OFFICIAL_SOURCE_IDENTITY_VERIFIED_CURRENTNESS_RECHECK,2026-09-13,OFFICIAL_PUBLIC_URL,Use current consolidated text if amendments/corrigenda matter
EU-006,NB02,EU,Digital Services Act,Regulation (EU) 2022/2065,STATUTE_OR_REGULATION,binding EU regulation,https://eur-lex.europa.eu/eli/reg/2022/2065/oj/eng,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,Relevant to platforms systemic risks and recommender systems
EU-007,NB02,EU,Data Act,Regulation (EU) 2023/2854,STATUTE_OR_REGULATION,binding EU regulation,https://eur-lex.europa.eu/eli/reg/2023/2854,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,Check current application and amendments when used
EU-008,NB02,EU,Data Governance Act,Regulation (EU) 2022/868,STATUTE_OR_REGULATION,binding EU regulation,https://eur-lex.europa.eu/eli/reg/2022/868/oj/eng,URL_DIRECT_PREFERRED,P2,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,Contextual data-governance source
EU-009,NB02,EU,NIS 2 Directive,Directive (EU) 2022/2555,STATUTE_OR_REGULATION,directive with national transposition dependencies,https://eur-lex.europa.eu/eli/dir/2022/2555/oj/eng,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,Check national transposition for jurisdiction-specific duties
EU-010,NB02,EU,Cyber Resilience Act,Regulation (EU) 2024/2847,STATUTE_OR_REGULATION,binding EU regulation with phased obligations,https://eur-lex.europa.eu/eli/reg/2024/2847/oj/eng,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,Relevant to products with digital elements; check application dates
US-001,NB03,US,Removing Barriers to American Leadership in Artificial Intelligence,Executive Order 14179,STATUTE_OR_REGULATION,executive order / federal executive policy,https://www.whitehouse.gov/presidential-actions/2025/01/removing-barriers-to-american-leadership-in-artificial-intelligence/,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,Do not describe executive policy as an Act of Congress
US-002,NB03,US,America's AI Action Plan,2025 AI Action Plan,OFFICIAL_GUIDANCE,executive policy plan,https://www.whitehouse.gov/wp-content/uploads/2025/07/Americas-AI-Action-Plan.pdf,PDF_DOWNLOAD_ALLOWED,P0,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,Policy plan not statute
US-003,NB03,US,Accelerating Federal Use of AI through Innovation Governance and Public Trust,OMB M-25-21,REGULATORY_GUIDANCE,binding/operational executive-branch memorandum according to agency scope,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,PDF_DOWNLOAD_ALLOWED,P0,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,Federal agency governance guidance
US-004,NB03,US,Driving Efficient Acquisition of Artificial Intelligence in Government,OMB M-25-22,REGULATORY_GUIDANCE,federal agency procurement memorandum,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-22-Driving-Efficient-Acquisition-of-Artificial-Intelligence-in-Government.pdf,PDF_DOWNLOAD_ALLOWED,P0,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,Federal acquisition scope
US-005,NB03,US,Ensuring a National Policy Framework for Artificial Intelligence,Executive Order 14365,STATUTE_OR_REGULATION,executive order / federal executive policy,https://www.whitehouse.gov/presidential-actions/2025/12/eliminating-state-law-obstruction-of-national-artificial-intelligence-policy/,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,Relevant to federal-state AI policy conflict and litigation task force
US-006,NB03,US,Increasing Public Trust in AI Through Unbiased AI Principles,OMB M-26-04,REGULATORY_GUIDANCE,federal agency memorandum,https://www.whitehouse.gov/wp-content/uploads/2025/12/M-26-04-Increasing-Public-Trust-in-Artificial-Intelligence-Through-Unbiased-AI-Principles-1.pdf,PDF_DOWNLOAD_ALLOWED,P1,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,Current federal use/procurement context; verify scope for each claim
US-007,NB03,US,Artificial Intelligence Risk Management Framework 1.0,NIST AI 100-1,OFFICIAL_STANDARD_OR_FRAMEWORK,voluntary framework,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,NIST states AI RMF 1.0 is being revised; recheck before use
US-008,NB03,US,AI RMF Generative Artificial Intelligence Profile,NIST AI 600-1,OFFICIAL_STANDARD_OR_FRAMEWORK,voluntary framework/profile,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,Companion profile to AI RMF
US-009,NB03,US-UT,Utah Artificial Intelligence Policy Act — current codification,Utah Code Title 13 Chapter 72,STATUTE_OR_REGULATION,state law,https://le.utah.gov/xcode/Title13/Chapter72/13-72.html,URL_DIRECT_PREFERRED,P2,CURRENT_CHAPTER_IDENTITY_AND_SECTION101_VERSION_VERIFIED_2026-09-14_WHOLE_CHAPTER_SECTION_BY_SECTION_OPEN,2026-09-14,OFFICIAL_PUBLIC_URL,Current chapter wrapper verified. Section 13-72-101 current version C13-72-S101_2026050620260506 states Effective 5/6/2026 and future-change signal 7/1/2027. Prior 2024 whole-chapter PDF is superseded for current-law use; recheck each material section before legal conclusions.
TR-001,NB04,TR,Constitution of the Republic of Türkiye,2709,CONSTITUTIONAL_TEXT,binding constitutional law,https://www.mevzuat.gov.tr/,MANUAL_DOWNLOAD_REQUIRED,P0,R005_EXACT_SOURCE_PIN_REQUIRED,2026-09-13,OFFICIAL_PUBLIC_PORTAL,Search official Mevzuat portal by law number 2709; do not rely on guessed deep link
TR-002,NB04,TR,Personal Data Protection Law,6698,STATUTE_OR_REGULATION,binding statute,https://www.mevzuat.gov.tr/,MANUAL_DOWNLOAD_REQUIRED,P0,R005_EXACT_SOURCE_PIN_REQUIRED,2026-09-13,OFFICIAL_PUBLIC_PORTAL,KVKK baseline; current consolidated text required
TR-003,NB04,TR,Turkish Code of Obligations,6098,STATUTE_OR_REGULATION,binding statute,https://www.mevzuat.gov.tr/,MANUAL_DOWNLOAD_REQUIRED,P0,R005_EXACT_SOURCE_PIN_REQUIRED,2026-09-13,OFFICIAL_PUBLIC_PORTAL,Liability baseline
TR-004,NB04,TR,Turkish Civil Code,4721,STATUTE_OR_REGULATION,binding statute,https://www.mevzuat.gov.tr/,MANUAL_DOWNLOAD_REQUIRED,P1,R005_EXACT_SOURCE_PIN_REQUIRED,2026-09-13,OFFICIAL_PUBLIC_PORTAL,Personality-rights baseline
TR-005,NB04,TR,Turkish Penal Code,5237,STATUTE_OR_REGULATION,binding statute,https://www.mevzuat.gov.tr/,MANUAL_DOWNLOAD_REQUIRED,P1,R005_EXACT_SOURCE_PIN_REQUIRED,2026-09-13,OFFICIAL_PUBLIC_PORTAL,Criminal-law baseline; AI-specific conclusions require exact elements
TR-006,NB04,TR,Consumer Protection Law,6502,STATUTE_OR_REGULATION,binding statute,https://www.mevzuat.gov.tr/,MANUAL_DOWNLOAD_REQUIRED,P0,R005_EXACT_SOURCE_PIN_REQUIRED,2026-09-13,OFFICIAL_PUBLIC_PORTAL,Consumer/digital-service baseline
TR-007,NB04,TR,Law on Regulation of Publications on the Internet and Combating Crimes Committed Through Such Publications,5651,STATUTE_OR_REGULATION,binding statute,https://www.mevzuat.gov.tr/,MANUAL_DOWNLOAD_REQUIRED,P1,R005_EXACT_SOURCE_PIN_REQUIRED,2026-09-13,OFFICIAL_PUBLIC_PORTAL,Internet intermediary/content baseline
TR-008,NB04,TR,Cybersecurity Law,7545,STATUTE_OR_REGULATION,binding status/current text to be verified under R005,https://www.resmigazete.gov.tr/,MANUAL_DOWNLOAD_REQUIRED,P0,R005_EXACT_SOURCE_PIN_REQUIRED,2026-09-13,OFFICIAL_PUBLIC_PORTAL,Use Resmi Gazete/Mevzuat official text only after exact source verification
TR-009,NB04,TR,Türkiye Yapay Zekâ Eylem Planı (2026-2030),Türkiye Yapay Zekâ Eylem Planı 2026-2030,OFFICIAL_GUIDANCE,national AI policy/action plan; nonbinding policy source; not statute,https://www.sanayi.gov.tr/plan-program-raporlar-ve-yayinlar/strateji-belgeleri,URL_DIRECT_PREFERRED,P1,CURRENT_OFFICIAL_ACTION_PLAN_IDENTITY_VERIFIED_2026_2030; OFFICIAL_PDF_BODY_UNRESOLVED_IN_GITHUB_RUNNER,2026-09-14,OFFICIAL_PUBLIC_URL; REPOSITORY_BINARY_VENDORING_RIGHTS_NOT_EVALUATED,"Current Ministry strategy-document index identifies Türkiye Yapay Zekâ Eylem Planı (2026-2030). Official Ministry announcement dated 13 Jun 2026 confirms the plan and its Fark Et / İstifade Et / Üret / Yönet policy axes. The 2021-2025 strategy and 2024-2025 action-plan materials are historical context, not the current primary policy plan. GitHub-runner direct requests to the Ministry site returned a generic HTML shell and did not expose the exact downloadable PDF body; therefore no PDF SHA-256, byte size, content-identity verification or repository binary is claimed. Policy/guidance is not binding law."
CL-001,NB06,CL,Chile neurorights constitutional reform,Ley 21.383,CONSTITUTIONAL_TEXT,Chile-specific constitutional/legal amendment,https://www.bcn.cl/leychile/navegar?idNorma=1166983,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_EXACT_RECORD,2026-09-13,OFFICIAL_PUBLIC_LEGAL_TEXT,Exact BCN Ley Chile record pinned. The law was promulgated 14 Oct 2021 and published 25 Oct 2021; current Constitution modification history still identifies Ley 21.383. Recheck current constitutional text before jurisdiction-wide conclusions.
CL-002,NB06,CL,Girardi v Emotiv Inc,Corte Suprema Rol 105065-2023,BINDING_COURT_DECISION,Chile Supreme Court decision within local legal system,https://juris.pjud.cl/busqueda/u?c5762,MANUAL_DOWNLOAD_REQUIRED,P1,OFFICIAL_DOCKET_EXACT_LINK_PINNED_FULLTEXT_ACCESS_BLOCKED,2026-09-13,OFFICIAL_PUBLIC_PORTAL,"Official Poder Judicial sources independently confirm Rol 105.065-2023, Girardi/Emotiv Inc and 9 Aug 2023. Official jurisprudence deep link is pinned but full-text access is blocked by anti-bot/CAPTCHA in this environment; secondary full-text copies remain supporting only."
STD-001,NB09,GLOBAL,AI management systems,ISO/IEC 42001,TECHNICAL_STANDARD,voluntary/contractual/regulatory relevance varies,https://www.iso.org/standard/81230.html,PAYWALLED_DO_NOT_VENDOR,P2,OFFICIAL_STANDARD_METADATA_ONLY,2026-09-13,PAYWALLED_DO_NOT_UPLOAD_FULLTEXT_WITHOUT_LICENSE,Store citation/metadata unless licensed copy is lawfully available
STD-002,NB09,GLOBAL,AI risk management,ISO/IEC 23894,TECHNICAL_STANDARD,voluntary/contractual/regulatory relevance varies,https://www.iso.org/standard/77304.html,PAYWALLED_DO_NOT_VENDOR,P2,OFFICIAL_STANDARD_METADATA_ONLY,2026-09-13,PAYWALLED_DO_NOT_UPLOAD_FULLTEXT_WITHOUT_LICENSE,Store citation/metadata unless licensed copy is lawfully available
INC-001,NB08,US,The Hugging Face incident and the road ahead,OpenAI 2026-08-26,OFFICIAL_COMPANY_STATEMENT,incident disclosure; not court finding,https://openai.com/index/hugging-face-incident-and-the-road-ahead/,URL_DIRECT_PREFERRED,P0,PARTIAL_OFFICIAL_SOURCE_ACCESS_BLOCKED,2026-09-14,OFFICIAL_PUBLIC_URL,Repository technical report inspected and hashed; both relevant OpenAI official incident URLs returned HTTP 403 in GitHub runner on 2026-09-14. Do not infer exact official-source identity. Use with independent investigation; incident != liability.
INC-002,NB08,US,Brief independent investigation of OpenAI/Hugging Face incident,METR + Redwood Research 2026-08-26,INDEPENDENT_REPORTING,independent technical investigation with stated limitations,https://metr.org/hugging-face-incident-report-aug-2026.pdf,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL_PDF_EXACT_MATCH,2026-09-14,OFFICIAL_PUBLIC_URL,Exact byte match to METR direct PDF verified 2026-09-14. Redwood Research and METR landing pages identify the same independent investigation. Preserve stated scope/access limitations.
INC-003,NB08,MULTI,Detecting and countering misuse of AI: September 2026,Anthropic TI 2026-09-10,OFFICIAL_COMPANY_STATEMENT,vendor threat-intelligence report,https://www-cdn.anthropic.com/e50be2e51e7695dc4b1366a37a245a597377d3b5/Anthropic-Detecting-and-countering-091026.pdf,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL_PDF_EXACT_MATCH,2026-09-14,OFFICIAL_PUBLIC_URL,"Exact byte match to official Anthropic CDN PDF linked by Anthropic landing page verified 2026-09-14. Individual case attributions remain vendor attribution, not court findings."
INC-004,NB08,GLOBAL,We Must Pace the Frontier,Dario Amodei 2026-09-12,POLICY_PROPOSAL,policy/opinion essay; not incident evidence; not law,https://darioamodei.com/post/we-must-pace-the-frontier,URL_DIRECT_PREFERRED,P1,VERIFIED_AUTHOR_PRIMARY_URL_REPOSITORY_PRINT_PARTIAL,2026-09-14,OFFICIAL_PUBLIC_URL,Live author page title/date verified 2026-09-14. Repository PDF is a webpage-print snapshot. Forecasts/opinions are not factual incidents or law.
CN-001,NB05,CN,Provisions on the Administration of Algorithmic Recommendations in Internet Information Services,CAC/MIIT/MPS/SAMR Order No. 9,DEPARTMENTAL_REGULATION,binding departmental regulation; effective 2022-03-01,https://www.cac.gov.cn/2022-01/04/c_1642894606364259.htm,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL_IDENTITY_EFFECTIVE_DATE_CURRENTNESS_RECHECK_REQUIRED,2026-09-14,OFFICIAL_PUBLIC_URL_REPRODUCTION_PERMISSION_NOT_ESTABLISHED,Official CAC text and commencement verified; no separate repeal/supersession search completed in R008. Authentic Chinese source controls; no controlled official English translation pinned; no repository binary vendored.
CN-002,NB05,CN,Provisions on the Administration of Deep Synthesis Internet Information Services,CAC/MIIT/MPS Order No. 12,DEPARTMENTAL_REGULATION,binding departmental regulation; effective 2023-01-10,https://www.cac.gov.cn/2022-12/11/c_1672221949354811.htm,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL_IDENTITY_EFFECTIVE_DATE_CURRENTNESS_RECHECK_REQUIRED,2026-09-14,OFFICIAL_PUBLIC_URL_REPRODUCTION_PERMISSION_NOT_ESTABLISHED,Official CAC text and commencement verified; no separate repeal/supersession search completed in R008. Authentic Chinese source controls; no controlled official English translation pinned; no repository binary vendored.
CN-003,NB05,CN,Interim Measures for the Management of Generative Artificial Intelligence Services,Multi-agency Order No. 15,DEPARTMENTAL_REGULATION_OR_MEASURE,binding regulatory measure; effective 2023-08-15,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL_IDENTITY_EFFECTIVE_DATE_CURRENTNESS_RECHECK_REQUIRED,2026-09-14,OFFICIAL_PUBLIC_URL_REPRODUCTION_PERMISSION_NOT_ESTABLISHED,Official CAC text identifies Order No. 15 and commencement; exact duty/application analysis remains separate. Authentic Chinese source controls; no controlled official English translation pinned; no repository binary vendored.
CN-004,NB05,CN,Personal Information Protection Law of the PRC,NPC FLK bbbs ff8081817b6472a3017b656cc2040044,NATIONAL_LAW,binding national law; current/effective in NPC database,https://flk.npc.gov.cn/law-search/search/flfgDetails?bbbs=ff8081817b6472a3017b656cc2040044,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL_CURRENT_NPC_DATABASE,2026-09-14,OFFICIAL_PUBLIC_URL_REPRODUCTION_PERMISSION_NOT_ESTABLISHED,NPC National Laws and Regulations Database exact-title search and detail record verified; status sxx=3 (effective/current). Authentic Chinese source controls; no controlled official English translation pinned; no repository binary vendored.
CN-005,NB05,CN,Data Security Law of the PRC,NPC FLK bbbs ff80818179f5e0800179f885c7e70392,NATIONAL_LAW,binding national law; current/effective in NPC database,https://flk.npc.gov.cn/law-search/search/flfgDetails?bbbs=ff80818179f5e0800179f885c7e70392,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL_CURRENT_NPC_DATABASE,2026-09-14,OFFICIAL_PUBLIC_URL_REPRODUCTION_PERMISSION_NOT_ESTABLISHED,NPC National Laws and Regulations Database exact-title search and detail record verified; status sxx=3 (effective/current). Authentic Chinese source controls; no controlled official English translation pinned; no repository binary vendored.
CN-006,NB05,CN,Cybersecurity Law of the PRC — current revised record,NPC FLK bbbs 021e7d7684474107b8f3febbb1c4f8b5,NATIONAL_LAW,binding national law; current revised record effective 2026-01-01,https://flk.npc.gov.cn/law-search/search/flfgDetails?bbbs=021e7d7684474107b8f3febbb1c4f8b5,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL_CURRENT_NPC_DATABASE_REVISED_2025,2026-09-14,OFFICIAL_PUBLIC_URL_REPRODUCTION_PERMISSION_NOT_ESTABLISHED,"NPC exact-title search distinguishes the 2025-10-28 current record (sxx=3) from the 2016 record (sxx=2, modified); amendment decision bbbs 621d029681d4457ab5fc56ec7c7464a1 is linked supporting authority. Authentic Chinese source controls; no controlled official English translation pinned; no repository binary vendored."
CN-007,NB05,CN,Network Data Security Management Regulation,State Council network-data regulation,ADMINISTRATIVE_REGULATION,binding administrative regulation; effective 2025-01-01,https://www.gov.cn/zhengce/content/202409/content_6977766.htm,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL_IDENTITY_EFFECTIVE_DATE_CURRENTNESS_RECHECK_REQUIRED,2026-09-14,OFFICIAL_PUBLIC_URL_REPRODUCTION_PERMISSION_NOT_ESTABLISHED,Official Gov.cn identity and 2025-01-01 commencement verified; publication/promulgation date not normalized by R008. Authentic Chinese source controls; no controlled official English translation pinned; no repository binary vendored.
CN-008,NB05,CN,Measures for Labeling Artificial-Intelligence-Generated and Synthetic Content,2025 AI-generated-content labeling measure,DEPARTMENTAL_REGULATORY_MEASURE,binding regulatory measure; effective 2025-09-01,https://www.cac.gov.cn/2025-03/14/c_1743654684782215.htm,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL_IDENTITY_EFFECTIVE_DATE_CURRENTNESS_RECHECK_REQUIRED,2026-09-14,OFFICIAL_PUBLIC_URL_REPRODUCTION_PERMISSION_NOT_ESTABLISHED,Official CAC notice identifies the measure and 2025-09-01 commencement; exact co-issuer metadata is not expanded beyond verified CAC-led multi-agency characterization in R008. Authentic Chinese source controls; no controlled official English translation pinned; no repository binary vendored.
GB-001,NB05,GB,United Kingdom General Data Protection Regulation (UK GDPR),Regulation (EU) 2016/679 — United Kingdom General Data Protection Regulation,STATUTE_OR_REGULATION,binding UK data-protection law; exact provision-level effect/currentness must be rechecked,https://www.legislation.gov.uk/eur/2016/679/contents,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,2026-09-14,OFFICIAL_PUBLIC_URL_REPO_VENDORING_RIGHTS_NOT_ASSESSED_R009,Official legislation.gov.uk title explicitly identifies the United Kingdom General Data Protection Regulation. XML enactment-date attribute verified as 2016-04-27. Do not infer UK domestic commencement or current effect of every provision from that date.
GB-002,NB05,GB,Data Protection Act 2018,2018 c. 12,STATUTE_OR_REGULATION,binding UK Act; exact provision-level effect/currentness must be rechecked,https://www.legislation.gov.uk/ukpga/2018/12/contents,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,2026-09-14,OFFICIAL_PUBLIC_URL_REPO_VENDORING_RIGHTS_NOT_ASSESSED_R009,Official latest-available revised page and XML enactment-date attribute verified. Commencement is not inferred from enactment date.
GB-003,NB05,GB,Data (Use and Access) Act 2025,2025 c. 18,STATUTE_OR_REGULATION,binding UK Act with provision-specific commencement/currentness dependencies,https://www.legislation.gov.uk/ukpga/2025/18/contents,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,2026-09-14,OFFICIAL_PUBLIC_URL_REPO_VENDORING_RIGHTS_NOT_ASSESSED_R009,Official latest-available revised page and XML enactment-date attribute verified. R009 does not normalize section-by-section commencement or amendment effects.
GB-004,NB05,GB,Online Safety Act 2023,2023 c. 50,STATUTE_OR_REGULATION,binding UK Act with provision-specific commencement and secondary/regulator implementation dependencies,https://www.legislation.gov.uk/ukpga/2023/50/contents,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,2026-09-14,OFFICIAL_PUBLIC_URL_REPO_VENDORING_RIGHTS_NOT_ASSESSED_R009,Official latest-available revised page and XML enactment-date attribute verified. Ofcom online-safety hub returned HTTP 403 to the GitHub runner; that access failure is not source absence.
