notebook_pack,source_id,source_type,repository_path_or_url,ingestion_mode,readiness,authority_label,currentness_warning,upload_now,hold_reason,notes
NB02,EU-002,STATUTE_OR_REGULATION,86_NOTEBOOKLM/downloads/EU-002 [EU] [EUR-Lex] [REGULATION] [2026-1744] — Regulation (EU) 2026 1744 — Digital Omnibus on AI.pdf,PDF,READY_PDF,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL,YES,,Amends Regulation 2024/1689 and related acts
NB02,EU-003,STATUTE_OR_REGULATION,86_NOTEBOOKLM/downloads/EU-003 [EU] [EUR-Lex] [DIRECTIVE] [2024-2853] — Directive (EU) 2024 2853 — Product Liability Directive.pdf,PDF,READY_PDF,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL,YES,,Transposition deadline 9 Dec 2026; national implementation must be checked
NB02,EU-004,CONSTITUTIONAL_TEXT,86_NOTEBOOKLM/downloads/EU-004 [EU] [EUR-Lex] [CONSTITUTION] [2016-C-202-02] — Charter of Fundamental Rights.pdf,PDF,READY_PDF,CONSTITUTIONAL_TEXT,VERIFIED_OFFICIAL,YES,,Record scope-of-application limits
NB02,EU-005,STATUTE_OR_REGULATION,86_NOTEBOOKLM/downloads/EU-005 [EU] [EUR-Lex] [REGULATION] [2016-679] — GDPR.pdf,PDF,READY_PDF,STATUTE_OR_REGULATION,OFFICIAL_SOURCE_IDENTITY_VERIFIED_CURRENTNESS_RECHECK,YES,,Use current consolidated text if amendments/corrigenda matter
NB02,EU-006,STATUTE_OR_REGULATION,86_NOTEBOOKLM/downloads/EU-006 [EU] [EUR-Lex] [REGULATION] [2022-2065] — Digital Services Act.pdf,PDF,READY_PDF,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL,YES,,Relevant to platforms systemic risks and recommender systems
NB02,EU-007,STATUTE_OR_REGULATION,86_NOTEBOOKLM/downloads/EU-007 [EU] [EUR-Lex] [REGULATION] [2023-2854] — Data Act.pdf,PDF,READY_PDF,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL,YES,,Check current application and amendments when used
NB02,EU-008,STATUTE_OR_REGULATION,86_NOTEBOOKLM/downloads/EU-008 [EU] [EUR-Lex] [REGULATION] [2022-868] — Data Governance Act.pdf,PDF,READY_PDF,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL,YES,,Contextual data-governance source
NB02,EU-009,STATUTE_OR_REGULATION,86_NOTEBOOKLM/downloads/EU-009 [EU] [EUR-Lex] [DIRECTIVE] [2022-2555] — NIS 2.pdf,PDF,READY_PDF,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL,YES,,Check national transposition for jurisdiction-specific duties
NB02,EU-010,STATUTE_OR_REGULATION,86_NOTEBOOKLM/downloads/EU-010 [EU] [EUR-Lex] [REGULATION] [2024-2847] — Cyber Resilience Act.pdf,PDF,READY_PDF,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL,YES,,Relevant to products with digital elements; check application dates
NB03,US-001,STATUTE_OR_REGULATION,https://www.whitehouse.gov/presidential-actions/2025/01/removing-barriers-to-american-leadership-in-artificial-intelligence/,URL_PRIMARY,READY_URL,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL,YES,,Do not describe executive policy as an Act of Congress | Repository webpage-print remains supporting-only.
NB03,US-002,OFFICIAL_GUIDANCE,86_NOTEBOOKLM/downloads/US-002 [US] [White House] [OFFICIAL-GUIDANCE] [2025-07] — America's AI Action Plan.pdf,PDF,READY_PDF,OFFICIAL_GUIDANCE,VERIFIED_OFFICIAL,YES,,Policy plan not statute
NB03,US-003,REGULATORY_GUIDANCE,86_NOTEBOOKLM/downloads/US-003 [US] [OMB] [GOVERNMENT-MEMO] [M-25-21] — OMB M-25-21.pdf,PDF,READY_PDF,REGULATORY_GUIDANCE,VERIFIED_OFFICIAL,YES,,Federal agency governance guidance
NB03,US-004,REGULATORY_GUIDANCE,86_NOTEBOOKLM/downloads/US-004 [US] [OMB] [GOVERNMENT-MEMO] [M-25-22] — OMB M-25-22.pdf,PDF,READY_PDF,REGULATORY_GUIDANCE,VERIFIED_OFFICIAL,YES,,Federal acquisition scope
NB03,US-005,STATUTE_OR_REGULATION,86_NOTEBOOKLM/downloads/US-005 [US] [White House] [EXECUTIVE-ORDER] [EO-14365-FEDERAL-REGISTER] — Executive Order 14365 — Ensuring a National Policy Framework for AI.pdf,PDF,READY_PDF,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL,YES,,Relevant to federal-state AI policy conflict and litigation task force
NB03,US-006,REGULATORY_GUIDANCE,86_NOTEBOOKLM/downloads/US-006 [US] [OMB] [GOVERNMENT-MEMO] [M-26-04] — OMB M-26-04 — Unbiased AI Principles.pdf,PDF,READY_PDF,REGULATORY_GUIDANCE,VERIFIED_OFFICIAL,YES,,Current federal use/procurement context; verify scope for each claim
NB03,US-007,OFFICIAL_STANDARD_OR_FRAMEWORK,86_NOTEBOOKLM/downloads/US-007 [US] [NIST] [FRAMEWORK] [NIST-AI-100-1] — NIST AI RMF 1.0.pdf,PDF,READY_PDF,OFFICIAL_STANDARD_OR_FRAMEWORK,VERIFIED_OFFICIAL,YES,,NIST states AI RMF 1.0 is being revised; recheck before use
NB03,US-008,OFFICIAL_STANDARD_OR_FRAMEWORK,86_NOTEBOOKLM/downloads/US-008 [US] [NIST] [FRAMEWORK] [NIST-AI-600-1] — NIST GenAI Profile.pdf,PDF,READY_PDF,OFFICIAL_STANDARD_OR_FRAMEWORK,VERIFIED_OFFICIAL,YES,,Companion profile to AI RMF
NB03,US-009,STATUTE_OR_REGULATION,https://le.utah.gov/xcode/Title13/Chapter72/13-72.html,URL,READY_URL,STATUTE_OR_REGULATION,CURRENT_CHAPTER_IDENTITY_AND_SECTION101_VERSION_VERIFIED_2026-09-14_WHOLE_CHAPTER_SECTION_BY_SECTION_OPEN,YES,,Current chapter wrapper verified. Section 13-72-101 current version C13-72-S101_2026050620260506 states Effective 5/6/2026 and future-change signal 7/1/2027. Prior 2024 whole-chapter PDF is superseded for current-law use; recheck each material section before legal conclusions.
NB04,TR-001,CONSTITUTIONAL_TEXT,86_NOTEBOOKLM/downloads/TR-001 [TR] [Mevzuat-Resmi Gazete] [CONSTITUTION] [2709-SNAPSHOT] — TÜRKİYE CUMHURİYETİ ANAYASASI.pdf,PDF,READY_WITH_CURRENTNESS_WARNING,CONSTITUTIONAL_TEXT,LIVE_OFFICIAL_CURRENTNESS_RECHECK_REQUIRED_BEFORE_MATERIAL_LEGAL_CONCLUSION,YES,,Search official Mevzuat portal by law number 2709; do not rely on guessed deep link
NB04,TR-002,STATUTE_OR_REGULATION,86_NOTEBOOKLM/downloads/TR-002 [TR] [Mevzuat-Resmi Gazete] [LAW] [6698-SNAPSHOT] — KİŞİSEL VERİLERİN KORUNMASI KANUNU.pdf,PDF,READY_WITH_CURRENTNESS_WARNING,STATUTE_OR_REGULATION,LIVE_OFFICIAL_CURRENTNESS_RECHECK_REQUIRED_BEFORE_MATERIAL_LEGAL_CONCLUSION,YES,,KVKK baseline; current consolidated text required
NB04,TR-003,STATUTE_OR_REGULATION,86_NOTEBOOKLM/downloads/TR-003 [TR] [Mevzuat-Resmi Gazete] [LAW] [6098-SNAPSHOT] — TÜRK BORÇLAR KANUNU.pdf,PDF,READY_WITH_CURRENTNESS_WARNING,STATUTE_OR_REGULATION,LIVE_OFFICIAL_CURRENTNESS_RECHECK_REQUIRED_BEFORE_MATERIAL_LEGAL_CONCLUSION,YES,,Liability baseline
NB04,TR-004,STATUTE_OR_REGULATION,86_NOTEBOOKLM/downloads/TR-004 [TR] [Mevzuat-Resmi Gazete] [LAW] [4721-SNAPSHOT] — TÜRK MEDENİ KANUNU.pdf,PDF,READY_WITH_CURRENTNESS_WARNING,STATUTE_OR_REGULATION,LIVE_OFFICIAL_CURRENTNESS_RECHECK_REQUIRED_BEFORE_MATERIAL_LEGAL_CONCLUSION,YES,,Personality-rights baseline
NB04,TR-005,STATUTE_OR_REGULATION,86_NOTEBOOKLM/downloads/TR-005 [TR] [Mevzuat-Resmi Gazete] [LAW] [5237-SNAPSHOT] — TÜRK CEZA KANUNU.pdf,PDF,READY_WITH_CURRENTNESS_WARNING,STATUTE_OR_REGULATION,LIVE_OFFICIAL_CURRENTNESS_RECHECK_REQUIRED_BEFORE_MATERIAL_LEGAL_CONCLUSION,YES,,Criminal-law baseline; AI-specific conclusions require exact elements
NB04,TR-006,STATUTE_OR_REGULATION,86_NOTEBOOKLM/downloads/TR-006 [TR] [Mevzuat-Resmi Gazete] [LAW] [6502-SNAPSHOT] — TÜKETİCİNİN KORUNMASI HAKKINDA KANUN.pdf,PDF,READY_WITH_CURRENTNESS_WARNING,STATUTE_OR_REGULATION,LIVE_OFFICIAL_CURRENTNESS_RECHECK_REQUIRED_BEFORE_MATERIAL_LEGAL_CONCLUSION,YES,,Consumer/digital-service baseline
NB04,TR-007,STATUTE_OR_REGULATION,86_NOTEBOOKLM/downloads/TR-007 [TR] [Mevzuat-Resmi Gazete] [LAW] [5651-SNAPSHOT] — İNTERNET ORTAMINDA YAPILAN YAYINLARIN DÜZENLENMESİ VE BU YAYINLAR YOLUYLA İŞLENEN SUÇLARLA MÜCADELE EDİLMESİ HAKKINDA KANUN.pdf,PDF,READY_WITH_CURRENTNESS_WARNING,STATUTE_OR_REGULATION,LIVE_OFFICIAL_CURRENTNESS_RECHECK_REQUIRED_BEFORE_MATERIAL_LEGAL_CONCLUSION,YES,,Internet intermediary/content baseline
NB04,TR-008,STATUTE_OR_REGULATION,86_NOTEBOOKLM/downloads/TR-008 [TR] [Mevzuat-Resmi Gazete] [LAW] [7545-AMENDED-7590-2026-07-31] — SİBER GÜVENLİK KANUNU.pdf,PDF,READY_WITH_CURRENTNESS_WARNING,STATUTE_OR_REGULATION,LIVE_OFFICIAL_CURRENTNESS_RECHECK_REQUIRED_BEFORE_MATERIAL_LEGAL_CONCLUSION,YES,,Use Resmi Gazete/Mevzuat official text only after exact source verification
NB04,TR-009,OFFICIAL_GUIDANCE,https://www.sanayi.gov.tr/plan-program-raporlar-ve-yayinlar/strateji-belgeleri,URL,READY_URL,OFFICIAL_GUIDANCE,CURRENT_OFFICIAL_ACTION_PLAN_IDENTITY_VERIFIED_2026_2030; OFFICIAL_PDF_BODY_UNRESOLVED_IN_GITHUB_RUNNER,YES,,"Current Ministry strategy-document index identifies Türkiye Yapay Zekâ Eylem Planı (2026-2030). Official Ministry announcement dated 13 Jun 2026 confirms the plan and its Fark Et / İstifade Et / Üret / Yönet policy axes. The 2021-2025 strategy and 2024-2025 action-plan materials are historical context, not the current primary policy plan. GitHub-runner direct requests to the Ministry site returned a generic HTML shell and did not expose the exact downloadable PDF body; therefore no PDF SHA-256, byte size, content-identity verification or repository binary is claimed. Policy/guidance is not binding law."
NB05,CN-001,DEPARTMENTAL_REGULATION,https://www.cac.gov.cn/2022-01/04/c_1642894606364259.htm,URL,READY_URL,DEPARTMENTAL_REGULATION,VERIFIED_OFFICIAL_IDENTITY_EFFECTIVE_DATE_CURRENTNESS_RECHECK_REQUIRED,YES,,Official CAC text and commencement verified; no separate repeal/supersession search completed in R008. Authentic Chinese source controls; no controlled official English translation pinned; no repository binary vendored.
NB05,CN-002,DEPARTMENTAL_REGULATION,https://www.cac.gov.cn/2022-12/11/c_1672221949354811.htm,URL,READY_URL,DEPARTMENTAL_REGULATION,VERIFIED_OFFICIAL_IDENTITY_EFFECTIVE_DATE_CURRENTNESS_RECHECK_REQUIRED,YES,,Official CAC text and commencement verified; no separate repeal/supersession search completed in R008. Authentic Chinese source controls; no controlled official English translation pinned; no repository binary vendored.
NB05,CN-003,DEPARTMENTAL_REGULATION_OR_MEASURE,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,URL,READY_URL,DEPARTMENTAL_REGULATION_OR_MEASURE,VERIFIED_OFFICIAL_IDENTITY_EFFECTIVE_DATE_CURRENTNESS_RECHECK_REQUIRED,YES,,Official CAC text identifies Order No. 15 and commencement; exact duty/application analysis remains separate. Authentic Chinese source controls; no controlled official English translation pinned; no repository binary vendored.
NB05,CN-004,NATIONAL_LAW,https://flk.npc.gov.cn/law-search/search/flfgDetails?bbbs=ff8081817b6472a3017b656cc2040044,URL,READY_URL,NATIONAL_LAW,VERIFIED_OFFICIAL_CURRENT_NPC_DATABASE,YES,,NPC National Laws and Regulations Database exact-title search and detail record verified; status sxx=3 (effective/current). Authentic Chinese source controls; no controlled official English translation pinned; no repository binary vendored.
NB05,CN-005,NATIONAL_LAW,https://flk.npc.gov.cn/law-search/search/flfgDetails?bbbs=ff80818179f5e0800179f885c7e70392,URL,READY_URL,NATIONAL_LAW,VERIFIED_OFFICIAL_CURRENT_NPC_DATABASE,YES,,NPC National Laws and Regulations Database exact-title search and detail record verified; status sxx=3 (effective/current). Authentic Chinese source controls; no controlled official English translation pinned; no repository binary vendored.
NB05,CN-006,NATIONAL_LAW,https://flk.npc.gov.cn/law-search/search/flfgDetails?bbbs=021e7d7684474107b8f3febbb1c4f8b5,URL,READY_URL,NATIONAL_LAW,VERIFIED_OFFICIAL_CURRENT_NPC_DATABASE_REVISED_2025,YES,,"NPC exact-title search distinguishes the 2025-10-28 current record (sxx=3) from the 2016 record (sxx=2, modified); amendment decision bbbs 621d029681d4457ab5fc56ec7c7464a1 is linked supporting authority. Authentic Chinese source controls; no controlled official English translation pinned; no repository binary vendored."
NB05,CN-007,ADMINISTRATIVE_REGULATION,https://www.gov.cn/zhengce/content/202409/content_6977766.htm,URL,READY_URL,ADMINISTRATIVE_REGULATION,VERIFIED_OFFICIAL_IDENTITY_EFFECTIVE_DATE_CURRENTNESS_RECHECK_REQUIRED,YES,,Official Gov.cn identity and 2025-01-01 commencement verified; publication/promulgation date not normalized by R008. Authentic Chinese source controls; no controlled official English translation pinned; no repository binary vendored.
NB05,CN-008,DEPARTMENTAL_REGULATORY_MEASURE,https://www.cac.gov.cn/2025-03/14/c_1743654684782215.htm,URL,READY_URL,DEPARTMENTAL_REGULATORY_MEASURE,VERIFIED_OFFICIAL_IDENTITY_EFFECTIVE_DATE_CURRENTNESS_RECHECK_REQUIRED,YES,,Official CAC notice identifies the measure and 2025-09-01 commencement; exact co-issuer metadata is not expanded beyond verified CAC-led multi-agency characterization in R008. Authentic Chinese source controls; no controlled official English translation pinned; no repository binary vendored.
NB05,GB-001,STATUTE_OR_REGULATION,https://www.legislation.gov.uk/eur/2016/679/contents,URL,READY_URL,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,YES,,Official legislation.gov.uk title explicitly identifies the United Kingdom General Data Protection Regulation. XML enactment-date attribute verified as 2016-04-27. Do not infer UK domestic commencement or current effect of every provision from that date.
NB05,GB-002,STATUTE_OR_REGULATION,https://www.legislation.gov.uk/ukpga/2018/12/contents,URL,READY_URL,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,YES,,Official latest-available revised page and XML enactment-date attribute verified. Commencement is not inferred from enactment date.
NB05,GB-003,STATUTE_OR_REGULATION,https://www.legislation.gov.uk/ukpga/2025/18/contents,URL,READY_URL,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,YES,,Official latest-available revised page and XML enactment-date attribute verified. R009 does not normalize section-by-section commencement or amendment effects.
NB05,GB-004,STATUTE_OR_REGULATION,https://www.legislation.gov.uk/ukpga/2023/50/contents,URL,READY_URL,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,YES,,Official latest-available revised page and XML enactment-date attribute verified. Ofcom online-safety hub returned HTTP 403 to the GitHub runner; that access failure is not source absence.
NB05,GB-005,STATUTE_OR_REGULATION,https://www.legislation.gov.uk/ukpga/2024/13/contents,URL,READY_URL,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,YES,,Official latest-available revised page and XML enactment-date attribute verified. R009 does not map every Part commencement or CMA enforcement procedure.
NB05,GB-006,STATUTE_OR_REGULATION,https://www.legislation.gov.uk/ukpga/2015/15/contents,URL,READY_URL,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,YES,,Official latest-available revised page and XML enactment-date attribute verified. No AI-specific duty is inferred from source identity alone.
NB05,GB-007,STATUTE_OR_REGULATION,https://www.legislation.gov.uk/ukpga/1987/43/contents,URL,READY_URL,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,YES,,Official latest-available revised page and XML enactment-date attribute verified. R009 does not conclude that a model/software output is a defective product or that liability exists.
NB05,GB-008,STATUTE_OR_REGULATION,https://www.legislation.gov.uk/ukpga/2025/20/contents,URL,READY_URL,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,YES,,Official latest-available revised page and XML enactment-date attribute verified. R009 does not infer secondary regulations or product-specific AI duties that were not separately checked.
NB05,GB-009,POLICY_PROPOSAL,https://www.gov.uk/government/calls-for-evidence/ai-growth-lab,URL,READY_URL,POLICY_PROPOSAL,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,YES,,GOV.UK Content API exact identity verified. Page states the proposed AI Growth Lab would support targeted regulatory modifications under safeguards. Proposal/call for evidence is not current binding law.
NB05,GB-010,OFFICIAL_GUIDANCE,https://www.gov.uk/government/publications/regulators-strategic-approaches-to-ai,URL,READY_URL,OFFICIAL_GUIDANCE,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,YES,,GOV.UK Content API exact identity verified. Notice records strategic AI approaches requested from key regulators; it does not itself create statutory AI duties.
NB05,GB-011,REGULATORY_GUIDANCE,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/artificial-intelligence/,URL,READY_URL,REGULATORY_GUIDANCE,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,YES,,Official ICO AI hub returned HTTP 200 and references UK GDPR plus AI decision-explanation resources. R009 did not normalize the publication/update date or verify every linked guidance page.
NB05,GB-012,REGULATORY_GUIDANCE,https://www.gov.uk/cma-cases/ai-foundation-models-initial-review,URL,READY_URL,REGULATORY_GUIDANCE,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,YES,,GOV.UK Content API exact page identity verified; first published 2023-05-04 and public update 2024-04-16. Do not convert market-review findings into binding duties.
NB05,GB-013,OFFICIAL_GUIDANCE,https://www.gov.uk/government/publications/ai-opportunities-action-plan-government-response,URL,READY_URL,OFFICIAL_GUIDANCE,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,YES,,"GOV.UK Content API exact identity verified; policy paper published 2025-01-13. Later AI Growth Lab/regulatory-policy materials exist, so this is not treated as the sole current AI-regulation source."
NB05,JP-001,STATUTE_OR_REGULATION,https://laws.e-gov.go.jp/law/507AC0000000053,URL,READY_URL,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010,YES,,"Official e-Gov API verified law number Reiwa 7 Act No. 53, promulgation 2025-06-04, current revision effective 2025-09-01, status CurrentEnforced. Cabinet Office official AI Act page states partial effect from 2025-06-04 and full effect from 2025-09-01. R010 does not convert statutory principles into a concrete breach/liability finding."
NB05,JP-002,STATUTE_OR_REGULATION,https://laws.e-gov.go.jp/law/415AC0000000057,URL,READY_URL,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010,YES,,Official e-Gov API verified original law number Heisei 15 Act No. 57 and current revision 2026-07-17 under Reiwa 8 Act No. 62; status CurrentEnforced. No AI-specific application conclusion is inferred.
NB05,JP-003,OFFICIAL_GUIDANCE,https://www8.cao.go.jp/cstp/ai/ai_plan/ai_plan.html,URL,READY_URL,OFFICIAL_GUIDANCE,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010,YES,,Cabinet Office AI hub states the Phase II AI Basic Plan was decided by Cabinet on 2026-07-14. The prior first plan dated 2025-12-23 remains historical context. Policy plan is not treated as statute.
NB05,JP-004,OFFICIAL_GUIDANCE,https://www8.cao.go.jp/cstp/ai/ai_guideline/ai_guideline.html,URL,READY_URL,OFFICIAL_GUIDANCE,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010,YES,,Cabinet Office page states Headquarters decision 2025-12-19 and maintains a current cross-ministry AI guideline inventory. Guidance is not converted into statutory duty.
NB05,JP-005,REGULATORY_GUIDANCE,https://www.soumu.go.jp/main_sosiki/kenkyu/ai_network/02ryutsu20_04000019.html,URL,READY_URL,REGULATORY_GUIDANCE,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010,YES,,"Cabinet Office current guideline hub links both MIC and METI sources and marks the AI Guidelines for Business at R8.3. MIC official page was reachable and showed Ver.1.2 / 2026-03-31 plus official English titles. METI counterpart returned HTTP 403 to the GitHub runner; this is preserved as access state, not source absence."
NB05,KR-001,STATUTE_OR_REGULATION,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=282791&chrClsCd=010202&urlMode=lsInfoP&efYd=20260721&ancYnChk=0,URL,READY_URL,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010,YES,,"Official current page identity verified. Hidden metadata: lsId 014820; lsiSeq 282791; current revision ancNo 21311; ancYd 2026-01-20; nwYn=Y. Name wrapper selected efYd 2026-07-21, while the body also exposed a 2026-01-22 base-effect signal. R010 does not collapse these into one universal commencement date and does not claim ancNo 21311 is the original enactment number."
NB05,KR-002,STATUTE_OR_REGULATION,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288781&chrClsCd=010202&urlMode=lsInfoP&efYd=20260820&ancYnChk=0,URL,READY_URL,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010,YES,,Official current page identity verified. Hidden metadata: lsId 015032; lsiSeq 288781; current revision ancNo 36580; ancYd 2026-08-18; nwYn=Y; current selector 2026-08-20. R010 does not infer a concrete duty or liability consequence from source identity.
NB05,KR-003,STATUTE_OR_REGULATION,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=283839&chrClsCd=010202&urlMode=lsInfoP&efYd=20260911&ancYnChk=0,URL,READY_URL,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010,YES,,Official current page identity verified. Hidden metadata: lsId 011357; lsiSeq 283839; current revision ancNo 21445; ancYd 2026-03-10; nwYn=Y; current selector 2026-09-11. No AI-specific breach or compliance conclusion is inferred.
