source_id,jurisdiction,institution,document_type,document_id,original_filename,canonical_readable_filename,pre_rename_sha256,post_rename_sha256,content_changed,verification_state,notebook_packs,rename_state,notes
EU-008,EU,EUR-Lex,REGULATION,Regulation (EU) 2022/868,Data Governance Act.pdf,EU-008 [EU] [EUR-Lex] [REGULATION] [2022-868] — Data Governance Act.pdf,ea75eddf66fc2f68bf0d88c1aa6db9692ecd0b003af76d6f87fd80761a790d8b,ea75eddf66fc2f68bf0d88c1aa6db9692ecd0b003af76d6f87fd80761a790d8b,NO,CONTENT_IDENTITY_VERIFIED,NB02,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
EU-006,EU,EUR-Lex,REGULATION,Regulation (EU) 2022/2065,Digital Services Act.pdf,EU-006 [EU] [EUR-Lex] [REGULATION] [2022-2065] — Digital Services Act.pdf,04b688f2ea13fc0f0e0f615b6835608405ee848b17892d26a1b69dcf1bae71a0,04b688f2ea13fc0f0e0f615b6835608405ee848b17892d26a1b69dcf1bae71a0,NO,CONTENT_IDENTITY_VERIFIED,NB02,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
EU-003,EU,EUR-Lex,DIRECTIVE,Directive (EU) 2024/2853,Directive (EU) 2024 2853 — Product Liability Directive .pdf,EU-003 [EU] [EUR-Lex] [DIRECTIVE] [2024-2853] — Directive (EU) 2024 2853 — Product Liability Directive.pdf,86982bf66ec10cce529fa5030096422a35cb9c88beb855c3129389dcb4562057,86982bf66ec10cce529fa5030096422a35cb9c88beb855c3129389dcb4562057,NO,CONTENT_IDENTITY_VERIFIED,NB02;NB07,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
US-001,US,White House,EXECUTIVE-ORDER,Executive Order 14179,Executive Order 14179 — Removing Barriers to American Leadership in AI.pdf,US-001 [US] [White House] [EXECUTIVE-ORDER] [EO-14179-WEBPAGE-PRINT-SUPPORTING] — Executive Order 14179 — Removing Barriers to American Leadership in AI.pdf,53b1d268c02cddb9eaaf57cf7429c7151cca56c454f9d36126699350c3b9a6ef,53b1d268c02cddb9eaaf57cf7429c7151cca56c454f9d36126699350c3b9a6ef,NO,CONTENT_IDENTITY_PARTIAL,NB03,RENAMED_VERIFIED,PARTIAL
US-005,US,White House,EXECUTIVE-ORDER,Executive Order 14365,Executive Order 14365 — Ensuring a National Policy Framework for AI.pdf,US-005 [US] [White House] [EXECUTIVE-ORDER] [EO-14365-FEDERAL-REGISTER] — Executive Order 14365 — Ensuring a National Policy Framework for AI.pdf,5a557f9a153f1f40c7bd885b660ed81f1b26d55a6363b778943dfaa65565e0cb,5a557f9a153f1f40c7bd885b660ed81f1b26d55a6363b778943dfaa65565e0cb,NO,CONTENT_IDENTITY_VERIFIED,NB03,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
EU-005,EU,EUR-Lex,REGULATION,Regulation (EU) 2016/679,GDPR.pdf,EU-005 [EU] [EUR-Lex] [REGULATION] [2016-679] — GDPR.pdf,bd84e63f5b622b739a83389afc3b30d240f792bb88d8eb03a816c9a82b0c2499,bd84e63f5b622b739a83389afc3b30d240f792bb88d8eb03a816c9a82b0c2499,NO,CONTENT_IDENTITY_VERIFIED,NB02;NB06;NB07,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
INT-008,UN,United Nations,OFFICIAL-GUIDANCE,UN Advisory Body on AI 2024 Final Report,Governing AI for Humanity — UN Advisory Body final report.pdf,INT-008 [UN] [United Nations] [OFFICIAL-GUIDANCE] [UN-AI-ADVISORY-2024] — Governing AI for Humanity — UN Advisory Body final report.pdf,08923cc8a90f724b0cb91d65b02bad5612c68883327f9e34518a5818a4fb4908,08923cc8a90f724b0cb91d65b02bad5612c68883327f9e34518a5818a4fb4908,NO,CONTENT_IDENTITY_VERIFIED,NB01,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
TR-002,TR,Mevzuat-Resmi Gazete,LAW,Law No. 6698,KİŞİSEL VERİLERİN KORUNMASI KANUNU.pdf,TR-002 [TR] [Mevzuat-Resmi Gazete] [LAW] [6698-SNAPSHOT] — KİŞİSEL VERİLERİN KORUNMASI KANUNU.pdf,1ad27253b0068d4c3d991b92b68c6bc1104439430160f4350a3f04fbb211f2b5,1ad27253b0068d4c3d991b92b68c6bc1104439430160f4350a3f04fbb211f2b5,NO,CONTENT_IDENTITY_VERIFIED,NB04,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
EU-009,EU,EUR-Lex,DIRECTIVE,Directive (EU) 2022/2555,NIS 2.pdf,EU-009 [EU] [EUR-Lex] [DIRECTIVE] [2022-2555] — NIS 2.pdf,20d29e9c5300ae1095530996f04731311bf82bb7d4d6a7a0102cd0f075755cf3,20d29e9c5300ae1095530996f04731311bf82bb7d4d6a7a0102cd0f075755cf3,NO,CONTENT_IDENTITY_VERIFIED,NB02,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
US-007,US,NIST,FRAMEWORK,NIST AI 100-1,NIST AI RMF 1.0.pdf,US-007 [US] [NIST] [FRAMEWORK] [NIST-AI-100-1] — NIST AI RMF 1.0.pdf,7576edb531d9848825814ee88e28b1795d3a84b435b4b797d3670eafdc4a89f1,7576edb531d9848825814ee88e28b1795d3a84b435b4b797d3670eafdc4a89f1,NO,CONTENT_IDENTITY_VERIFIED,NB01;NB03;NB07;NB08,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
US-008,US,NIST,FRAMEWORK,NIST AI 600-1,NIST GenAI Profile.pdf,US-008 [US] [NIST] [FRAMEWORK] [NIST-AI-600-1] — NIST GenAI Profile.pdf,6e73620ab6b64e90ef2c04bf0e0d6246185a2f4b1b13cab0df494496cff89b6a,6e73620ab6b64e90ef2c04bf0e0d6246185a2f4b1b13cab0df494496cff89b6a,NO,CONTENT_IDENTITY_VERIFIED,NB01;NB03;NB07,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
INT-005,OECD,OECD,SOFT-LAW,OECD Recommendation on AI updated 2024,OECD AI Principles (updated 2024).pdf,INT-005 [OECD] [OECD] [SOFT-LAW] [OECD-AI-PRINCIPLES-2024] — OECD AI Principles (updated 2024).pdf,88227000e69be9aad5864155bd3e06ebead1e76c5b7cf662d63c1605408e5060,88227000e69be9aad5864155bd3e06ebead1e76c5b7cf662d63c1605408e5060,NO,CONTENT_IDENTITY_VERIFIED,NB01,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
US-003,US,OMB,GOVERNMENT-MEMO,OMB M-25-21,OMB M-25-21.pdf,US-003 [US] [OMB] [GOVERNMENT-MEMO] [M-25-21] — OMB M-25-21.pdf,0aab0aa4eaeac969ed93894d3940c5dc9d0b7377048171b164a439e8b9e49813,0aab0aa4eaeac969ed93894d3940c5dc9d0b7377048171b164a439e8b9e49813,NO,CONTENT_IDENTITY_VERIFIED,NB03;NB07,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
US-004,US,OMB,GOVERNMENT-MEMO,OMB M-25-22,OMB M-25-22.pdf,US-004 [US] [OMB] [GOVERNMENT-MEMO] [M-25-22] — OMB M-25-22.pdf,e157538371eb9665fabdacff748788fc6afc0575bb3661d15b146f3138084cd8,e157538371eb9665fabdacff748788fc6afc0575bb3661d15b146f3138084cd8,NO,CONTENT_IDENTITY_VERIFIED,NB03;NB07,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
US-006,US,OMB,GOVERNMENT-MEMO,OMB M-26-04,OMB M-26-04 — Unbiased AI Principles.pdf,US-006 [US] [OMB] [GOVERNMENT-MEMO] [M-26-04] — OMB M-26-04 — Unbiased AI Principles.pdf,d33b0277d720baac843babc5f24269e4c0b8777447870a36309d8b4f3d9c79bc,d33b0277d720baac843babc5f24269e4c0b8777447870a36309d8b4f3d9c79bc,NO,CONTENT_IDENTITY_VERIFIED,NB03,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
INC-001,US_GLOBAL,OpenAI,COMPANY-INCIDENT-DISCLOSURE,OpenAI Hugging Face incident disclosure 2026-08-26,OpenAI-Hugging-Face Incident-Technical-Report.pdf,INC-001 [US_GLOBAL] [OpenAI] [COMPANY-INCIDENT-DISCLOSURE] [2026-08-26-PARTIAL] — OpenAI-Hugging-Face Incident-Technical-Report.pdf,dd635cf6e5f39f0e1f646f08c36549090d77156ed89cbd3d733ed496648cae9c,dd635cf6e5f39f0e1f646f08c36549090d77156ed89cbd3d733ed496648cae9c,NO,CONTENT_IDENTITY_PARTIAL,NB08,RENAMED_VERIFIED,PARTIAL
INT-007,UN,United Nations,UN-RESOLUTION,Outcome-document bundle related to A/RES/79/1,Pact for the Future  Global Digital Compact — A RES 79 1 .pdf,INT-007 [UN] [United Nations] [UN-RESOLUTION] [A-RES-79-1-SUPPORTING-BUNDLE] — Pact for the Future Global Digital Compact — A RES 79 1.pdf,74f42f32e349b9e71b70995cff9c10cf7e133d9a83141f906f052ba9de922a8e,74f42f32e349b9e71b70995cff9c10cf7e133d9a83141f906f052ba9de922a8e,NO,CONTENT_IDENTITY_PARTIAL,NB01,RENAMED_VERIFIED,PARTIAL
INT-003,UNESCO,UNESCO,SOFT-LAW,UNESCO 41 C/Recommendation 2021,Recommendation on the Ethics of Artificial Intelligence (2021).pdf,INT-003 [UNESCO] [UNESCO] [SOFT-LAW] [41C-RECOMMENDATION-2021] — Recommendation on the Ethics of Artificial Intelligence (2021).pdf,e7ca2b48eed56a390c6b0c900d9e8ec4d665b2ac71bcbf4b066fa277c0a3ded2,e7ca2b48eed56a390c6b0c900d9e8ec4d665b2ac71bcbf4b066fa277c0a3ded2,NO,CONTENT_IDENTITY_VERIFIED,NB01;NB06,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
INT-004,UNESCO,UNESCO,SOFT-LAW,UNESCO 43rd General Conference 2025 / Annex II,Recommendation on the Ethics of Neurotechnology (2025)  43rd General Conference resolutions source.pdf,INT-004 [UNESCO] [UNESCO] [SOFT-LAW] [43GC-LEGACY-SUPERSEDED] — Recommendation on the Ethics of Neurotechnology (2025) 43rd General Conference resolutions source.pdf,028d0fd8472412091e05617b542b6ea41a60d9602cdb7df2a1dfdeb7c86505ae,028d0fd8472412091e05617b542b6ea41a60d9602cdb7df2a1dfdeb7c86505ae,NO,SUPERSEDED_SOURCE,NB01;NB06,RENAMED_VERIFIED,SUPERSEDED
EU-002,EU,EUR-Lex,REGULATION,Regulation (EU) 2026/1744,Regulation (EU) 2026 1744 — Digital Omnibus on AI  .pdf,EU-002 [EU] [EUR-Lex] [REGULATION] [2026-1744] — Regulation (EU) 2026 1744 — Digital Omnibus on AI.pdf,0bea4d808256b08275777949ba9cb3c70b7d02e4ebb3ac9b205671b1f552d386,0bea4d808256b08275777949ba9cb3c70b7d02e4ebb3ac9b205671b1f552d386,NO,CONTENT_IDENTITY_VERIFIED,NB02,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
TR-008,TR,Mevzuat-Resmi Gazete,LAW,Law No. 7545,SİBER GÜVENLİK KANUNU.pdf,TR-008 [TR] [Mevzuat-Resmi Gazete] [LAW] [7545-AMENDED-7590-2026-07-31] — SİBER GÜVENLİK KANUNU.pdf,8e0217ca599506d6e6a66143fac63a9c3b8525d012032aad7814083b89d3ef73,8e0217ca599506d6e6a66143fac63a9c3b8525d012032aad7814083b89d3ef73,NO,CONTENT_IDENTITY_VERIFIED,NB04,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
TR-006,TR,Mevzuat-Resmi Gazete,LAW,Law No. 6502,TÜKETİCİNİN KORUNMASI HAKKINDA KANUN.pdf,TR-006 [TR] [Mevzuat-Resmi Gazete] [LAW] [6502-SNAPSHOT] — TÜKETİCİNİN KORUNMASI HAKKINDA KANUN.pdf,943f70aa212af092d04aa9d1035f756ff513261042adb6932a98fa3a92cd2c46,943f70aa212af092d04aa9d1035f756ff513261042adb6932a98fa3a92cd2c46,NO,CONTENT_IDENTITY_VERIFIED,NB04,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
TR-003,TR,Mevzuat-Resmi Gazete,LAW,Law No. 6098,TÜRK BORÇLAR KANUNU.pdf,TR-003 [TR] [Mevzuat-Resmi Gazete] [LAW] [6098-SNAPSHOT] — TÜRK BORÇLAR KANUNU.pdf,052287d8111a07612974f31a71ed3c90e9743aa28d77a005846e4c392316b9d9,052287d8111a07612974f31a71ed3c90e9743aa28d77a005846e4c392316b9d9,NO,CONTENT_IDENTITY_VERIFIED,NB04,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
TR-005,TR,Mevzuat-Resmi Gazete,LAW,Law No. 5237,TÜRK CEZA KANUNU.pdf,TR-005 [TR] [Mevzuat-Resmi Gazete] [LAW] [5237-SNAPSHOT] — TÜRK CEZA KANUNU.pdf,cf8ba250fadbc51c1815971434971182a61645740c453f8163283875b6c67326,cf8ba250fadbc51c1815971434971182a61645740c453f8163283875b6c67326,NO,CONTENT_IDENTITY_VERIFIED,NB04,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
TR-004,TR,Mevzuat-Resmi Gazete,LAW,Law No. 4721,TÜRK MEDENİ KANUNU.pdf,TR-004 [TR] [Mevzuat-Resmi Gazete] [LAW] [4721-SNAPSHOT] — TÜRK MEDENİ KANUNU.pdf,11ae3bcbdccc0dd66701eddd0edf0938e7bc88410171f28be1f6bcea36339408,11ae3bcbdccc0dd66701eddd0edf0938e7bc88410171f28be1f6bcea36339408,NO,CONTENT_IDENTITY_VERIFIED,NB04,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
TR-001,TR,Mevzuat-Resmi Gazete,CONSTITUTION,Law No. 2709 / Constitution,TÜRKİYE CUMHURİYETİ ANAYASASI.pdf,TR-001 [TR] [Mevzuat-Resmi Gazete] [CONSTITUTION] [2709-SNAPSHOT] — TÜRKİYE CUMHURİYETİ ANAYASASI.pdf,58de994c36ae00e6dc86c00b886c808d7bee1a2306b9ac35bf8aec9e8d297d1f,58de994c36ae00e6dc86c00b886c808d7bee1a2306b9ac35bf8aec9e8d297d1f,NO,CONTENT_IDENTITY_VERIFIED,NB04,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
INC-002,US_GLOBAL,METR-Redwood Research,INDEPENDENT-INVESTIGATION,Independent OpenAI/Hugging Face incident investigation 2026-08-26,hugging-face-incident-report-aug-2026.pdf,INC-002 [US_GLOBAL] [METR-Redwood Research] [INDEPENDENT-INVESTIGATION] [2026-08-26] — hugging-face-incident-report-aug-2026.pdf,5b7d44d07be033d1ec6eb2229b6d1c09f502d5d6b897925f148613ab94b24aba,5b7d44d07be033d1ec6eb2229b6d1c09f502d5d6b897925f148613ab94b24aba,NO,CONTENT_IDENTITY_VERIFIED,NB08,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
TR-007,TR,Mevzuat-Resmi Gazete,LAW,Law No. 5651,İNTERNET ORTAMINDA YAPILAN YAYINLARIN DÜZENLENMESİ VE BU YAYINLAR YOLUYLA İŞLENEN SUÇLARLA MÜCADELE EDİLMESİ HAKKINDA KANUN .pdf,TR-007 [TR] [Mevzuat-Resmi Gazete] [LAW] [5651-SNAPSHOT] — İNTERNET ORTAMINDA YAPILAN YAYINLARIN DÜZENLENMESİ VE BU YAYINLAR YOLUYLA İŞLENEN SUÇLARLA MÜCADELE EDİLMESİ HAKKINDA KANUN.pdf,e4a1c9591afad92c06c4db2fbdd650fe3906fa9ab305ba5f51b0a4c83d67616c,e4a1c9591afad92c06c4db2fbdd650fe3906fa9ab305ba5f51b0a4c83d67616c,NO,CONTENT_IDENTITY_VERIFIED,NB04,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
