source_id,primary_pack,notebook_packs,notebook_source_label,preferred_ingest,repository_path,readiness,verification_state
INT-001,NB01,NB01;NB02;NB09;NB06,INT-001 | COE | TREATY | Council of Europe | Council of Europe Framework Convention on Artificial Intelligence and Human Rights Democracy and the Rule of Law | CETS-225-TREATY-TEXT-2024-09-05,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/INT-001 [COE] [Council of Europe Treaty Office] [TREATY] [CETS-225-TREATY-TEXT-2024-09-05] — CETS No.225 treaty status page.pdf,READY_WITH_CURRENTNESS_WARNING,VERIFIED_OFFICIAL_CURRENT_TREATY_STATUS_R004
EU-004,NB02,NB02;NB06,EU-004 | EU | CONSTITUTION | EUR-Lex | Charter of Fundamental Rights of the European Union | 2016-C-202-02,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/EU-004 [EU] [EUR-Lex] [CONSTITUTION] [2016-C-202-02] — Charter of Fundamental Rights.pdf,READY_PDF,VERIFIED_OFFICIAL
EU-005,NB02,NB02;NB06;NB07,EU-005 | EU | REGULATION | EUR-Lex | General Data Protection Regulation | 2016-679,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/EU-005 [EU] [EUR-Lex] [REGULATION] [2016-679] — GDPR.pdf,READY_PDF,OFFICIAL_SOURCE_IDENTITY_VERIFIED_CURRENTNESS_RECHECK
EU-006,NB02,NB02,EU-006 | EU | REGULATION | EUR-Lex | Digital Services Act | 2022-2065,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/EU-006 [EU] [EUR-Lex] [REGULATION] [2022-2065] — Digital Services Act.pdf,READY_PDF,VERIFIED_OFFICIAL
EU-007,NB02,NB02,EU-007 | EU | REGULATION | EUR-Lex | Data Act | 2023-2854,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/EU-007 [EU] [EUR-Lex] [REGULATION] [2023-2854] — Data Act.pdf,READY_PDF,VERIFIED_OFFICIAL
EU-008,NB02,NB02,EU-008 | EU | REGULATION | EUR-Lex | Data Governance Act | 2022-868,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/EU-008 [EU] [EUR-Lex] [REGULATION] [2022-868] — Data Governance Act.pdf,READY_PDF,VERIFIED_OFFICIAL
EU-009,NB02,NB02,EU-009 | EU | DIRECTIVE | EUR-Lex | NIS 2 Directive | 2022-2555,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/EU-009 [EU] [EUR-Lex] [DIRECTIVE] [2022-2555] — NIS 2.pdf,READY_PDF,VERIFIED_OFFICIAL
EU-010,NB02,NB02,EU-010 | EU | REGULATION | EUR-Lex | Cyber Resilience Act | 2024-2847,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/EU-010 [EU] [EUR-Lex] [REGULATION] [2024-2847] — Cyber Resilience Act.pdf,READY_PDF,VERIFIED_OFFICIAL
US-001,NB03,NB03,US-001 | US | EXECUTIVE-ORDER | US official source | Removing Barriers to American Leadership in Artificial Intelligence | EO-14179-WEBPAGE-PRINT-SUPPORTING,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/US-001 [US] [White House] [EXECUTIVE-ORDER] [EO-14179-WEBPAGE-PRINT-SUPPORTING] — Executive Order 14179 — Removing Barriers to American Leadership in AI.pdf,READY_URL,VERIFIED_OFFICIAL
US-002,NB03,NB03,US-002 | US | OFFICIAL-GUIDANCE | US official source | America's AI Action Plan | 2025-07,PDF_DOWNLOAD_ALLOWED,86_NOTEBOOKLM/downloads/US-002 [US] [White House] [OFFICIAL-GUIDANCE] [2025-07] — America's AI Action Plan.pdf,READY_PDF,VERIFIED_OFFICIAL
US-003,NB03,NB03;NB07,US-003 | US | GOVERNMENT-MEMO | OMB | Accelerating Federal Use of AI through Innovation Governance and Public Trust | M-25-21,PDF_DOWNLOAD_ALLOWED,86_NOTEBOOKLM/downloads/US-003 [US] [OMB] [GOVERNMENT-MEMO] [M-25-21] — OMB M-25-21.pdf,READY_PDF,VERIFIED_OFFICIAL
US-004,NB03,NB03;NB07,US-004 | US | GOVERNMENT-MEMO | OMB | Driving Efficient Acquisition of Artificial Intelligence in Government | M-25-22,PDF_DOWNLOAD_ALLOWED,86_NOTEBOOKLM/downloads/US-004 [US] [OMB] [GOVERNMENT-MEMO] [M-25-22] — OMB M-25-22.pdf,READY_PDF,VERIFIED_OFFICIAL
US-005,NB03,NB03,US-005 | US | EXECUTIVE-ORDER | US official source | Ensuring a National Policy Framework for Artificial Intelligence | EO-14365-FEDERAL-REGISTER,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/US-005 [US] [White House] [EXECUTIVE-ORDER] [EO-14365-FEDERAL-REGISTER] — Executive Order 14365 — Ensuring a National Policy Framework for AI.pdf,READY_PDF,VERIFIED_OFFICIAL
US-006,NB03,NB03,US-006 | US | GOVERNMENT-MEMO | OMB | Increasing Public Trust in AI Through Unbiased AI Principles | M-26-04,PDF_DOWNLOAD_ALLOWED,86_NOTEBOOKLM/downloads/US-006 [US] [OMB] [GOVERNMENT-MEMO] [M-26-04] — OMB M-26-04 — Unbiased AI Principles.pdf,READY_PDF,VERIFIED_OFFICIAL
US-007,NB03,NB01;NB03;NB07;NB08,US-007 | US | FRAMEWORK | NIST | Artificial Intelligence Risk Management Framework 1.0 | NIST-AI-100-1,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/US-007 [US] [NIST] [FRAMEWORK] [NIST-AI-100-1] — NIST AI RMF 1.0.pdf,READY_PDF,VERIFIED_OFFICIAL
US-008,NB03,NB01;NB03;NB07,US-008 | US | FRAMEWORK | NIST | AI RMF Generative Artificial Intelligence Profile | NIST-AI-600-1,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/US-008 [US] [NIST] [FRAMEWORK] [NIST-AI-600-1] — NIST GenAI Profile.pdf,READY_PDF,VERIFIED_OFFICIAL
US-009,NB03,NB03,US-009 | US-UT | LAW | US official source | Utah Artificial Intelligence Policy Act — current codification | Utah Code Title 13 Chapter 72,URL_DIRECT_PREFERRED,,READY_URL,CURRENT_CHAPTER_IDENTITY_AND_SECTION101_VERSION_VERIFIED_2026-09-14_WHOLE_CHAPTER_SECTION_BY_SECTION_OPEN
TR-001,NB04,NB04,TR-001 | TR | CONSTITUTION | Türkiye official source | Constitution of the Republic of Türkiye | 2709-SNAPSHOT,MANUAL_DOWNLOAD_REQUIRED,86_NOTEBOOKLM/downloads/TR-001 [TR] [Mevzuat-Resmi Gazete] [CONSTITUTION] [2709-SNAPSHOT] — TÜRKİYE CUMHURİYETİ ANAYASASI.pdf,READY_WITH_CURRENTNESS_WARNING,R005_EXACT_SOURCE_PIN_REQUIRED
TR-002,NB04,NB04,TR-002 | TR | LAW | Türkiye official source | Personal Data Protection Law | 6698-SNAPSHOT,MANUAL_DOWNLOAD_REQUIRED,86_NOTEBOOKLM/downloads/TR-002 [TR] [Mevzuat-Resmi Gazete] [LAW] [6698-SNAPSHOT] — KİŞİSEL VERİLERİN KORUNMASI KANUNU.pdf,READY_WITH_CURRENTNESS_WARNING,R005_EXACT_SOURCE_PIN_REQUIRED
TR-003,NB04,NB04,TR-003 | TR | LAW | Türkiye official source | Turkish Code of Obligations | 6098-SNAPSHOT,MANUAL_DOWNLOAD_REQUIRED,86_NOTEBOOKLM/downloads/TR-003 [TR] [Mevzuat-Resmi Gazete] [LAW] [6098-SNAPSHOT] — TÜRK BORÇLAR KANUNU.pdf,READY_WITH_CURRENTNESS_WARNING,R005_EXACT_SOURCE_PIN_REQUIRED
TR-004,NB04,NB04,TR-004 | TR | LAW | Türkiye official source | Turkish Civil Code | 4721-SNAPSHOT,MANUAL_DOWNLOAD_REQUIRED,86_NOTEBOOKLM/downloads/TR-004 [TR] [Mevzuat-Resmi Gazete] [LAW] [4721-SNAPSHOT] — TÜRK MEDENİ KANUNU.pdf,READY_WITH_CURRENTNESS_WARNING,R005_EXACT_SOURCE_PIN_REQUIRED
TR-005,NB04,NB04,TR-005 | TR | LAW | Türkiye official source | Turkish Penal Code | 5237-SNAPSHOT,MANUAL_DOWNLOAD_REQUIRED,86_NOTEBOOKLM/downloads/TR-005 [TR] [Mevzuat-Resmi Gazete] [LAW] [5237-SNAPSHOT] — TÜRK CEZA KANUNU.pdf,READY_WITH_CURRENTNESS_WARNING,R005_EXACT_SOURCE_PIN_REQUIRED
TR-006,NB04,NB04,TR-006 | TR | LAW | Türkiye official source | Consumer Protection Law | 6502-SNAPSHOT,MANUAL_DOWNLOAD_REQUIRED,86_NOTEBOOKLM/downloads/TR-006 [TR] [Mevzuat-Resmi Gazete] [LAW] [6502-SNAPSHOT] — TÜKETİCİNİN KORUNMASI HAKKINDA KANUN.pdf,READY_WITH_CURRENTNESS_WARNING,R005_EXACT_SOURCE_PIN_REQUIRED
TR-007,NB04,NB04,TR-007 | TR | LAW | Türkiye official source | Law on Regulation of Publications on the Internet and Combating Crimes Committed Through Such Publications | 5651-SNAPSHOT,MANUAL_DOWNLOAD_REQUIRED,86_NOTEBOOKLM/downloads/TR-007 [TR] [Mevzuat-Resmi Gazete] [LAW] [5651-SNAPSHOT] — İNTERNET ORTAMINDA YAPILAN YAYINLARIN DÜZENLENMESİ VE BU YAYINLAR YOLUYLA İŞLENEN SUÇLARLA MÜCADELE EDİLMESİ HAKKINDA KANUN.pdf,READY_WITH_CURRENTNESS_WARNING,R005_EXACT_SOURCE_PIN_REQUIRED
TR-008,NB04,NB04,TR-008 | TR | LAW | Türkiye official source | Cybersecurity Law | 7545-AMENDED-7590-2026-07-31,MANUAL_DOWNLOAD_REQUIRED,86_NOTEBOOKLM/downloads/TR-008 [TR] [Mevzuat-Resmi Gazete] [LAW] [7545-AMENDED-7590-2026-07-31] — SİBER GÜVENLİK KANUNU.pdf,READY_WITH_CURRENTNESS_WARNING,R005_EXACT_SOURCE_PIN_REQUIRED
TR-009,NB04,NB04,TR-009 | TR | OFFICIAL-GUIDANCE | Türkiye official source | Türkiye Yapay Zekâ Eylem Planı (2026-2030) | Türkiye Yapay Zekâ Eylem Planı 2026-2030,URL_DIRECT_PREFERRED,,READY_URL,CURRENT_OFFICIAL_ACTION_PLAN_IDENTITY_VERIFIED_2026_2030; OFFICIAL_PDF_BODY_UNRESOLVED_IN_GITHUB_RUNNER
CL-001,NB06,NB06,CL-001 | CL | CONSTITUTION | Chile official source | Chile neurorights constitutional reform | Ley 21.383,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_EXACT_RECORD
CL-002,NB06,NB06,CL-002 | CL | COURT-DECISION | Chile official source | Girardi v Emotiv Inc | Corte Suprema Rol 105065-2023,MANUAL_DOWNLOAD_REQUIRED,,HOLD,OFFICIAL_DOCKET_EXACT_LINK_PINNED_FULLTEXT_ACCESS_BLOCKED
STD-001,NB09,NB07;NB09,STD-001 | GLOBAL | STANDARD | ISO/IEC | AI management systems | ISO-IEC 42001,PAYWALLED_DO_NOT_VENDOR,,HOLD,OFFICIAL_STANDARD_METADATA_ONLY
STD-002,NB09,NB07;NB09,STD-002 | GLOBAL | STANDARD | ISO/IEC | AI risk management | ISO-IEC 23894,PAYWALLED_DO_NOT_VENDOR,,HOLD,OFFICIAL_STANDARD_METADATA_ONLY
INC-001,NB08,NB08,INC-001 | US | COMPANY-INCIDENT-DISCLOSURE | OpenAI | The Hugging Face incident and the road ahead | 2026-08-26-PARTIAL,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/INC-001 [US_GLOBAL] [OpenAI] [COMPANY-INCIDENT-DISCLOSURE] [2026-08-26-PARTIAL] — OpenAI-Hugging-Face Incident-Technical-Report.pdf,HOLD,PARTIAL_OFFICIAL_SOURCE_ACCESS_BLOCKED
INC-002,NB08,NB08,INC-002 | US | INDEPENDENT-INVESTIGATION | METR / Redwood Research | Brief independent investigation of OpenAI/Hugging Face incident | 2026-08-26,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/INC-002 [US_GLOBAL] [METR-Redwood Research] [INDEPENDENT-INVESTIGATION] [2026-08-26] — hugging-face-incident-report-aug-2026.pdf,READY_PDF,VERIFIED_OFFICIAL_PDF_EXACT_MATCH
INC-003,NB08,NB08,INC-003 | MULTI | VENDOR-THREAT-INTELLIGENCE | Anthropic | Detecting and countering misuse of AI: September 2026 | 2026-09-10,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/INC-003 [GLOBAL] [Anthropic] [VENDOR-THREAT-INTELLIGENCE] [2026-09-10] — Anthropic Threat Intelligence Report September 2026.pdf,READY_PDF,VERIFIED_OFFICIAL_PDF_EXACT_MATCH
INC-004,NB08,NB08,INC-004 | GLOBAL | POLICY-ESSAY | Dario Amodei | We Must Pace the Frontier | 2026-09-12-SUPPORTING,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/INC-004 [US_GLOBAL] [Dario Amodei] [POLICY-ESSAY] [2026-09-12-SUPPORTING] — Dario Amodei — We Must Pace the Frontier.pdf,READY_URL,VERIFIED_AUTHOR_PRIMARY_URL_REPOSITORY_PRINT_PARTIAL
CN-001,NB05,NB05,CN-001 | CN | REGULATION | CAC/NPC/State Council | Provisions on the Administration of Algorithmic Recommendations in Internet Information Services | CAC-MIIT-MPS-SAMR Order No. 9,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_IDENTITY_EFFECTIVE_DATE_CURRENTNESS_RECHECK_REQUIRED
CN-002,NB05,NB05,CN-002 | CN | REGULATION | CAC/NPC/State Council | Provisions on the Administration of Deep Synthesis Internet Information Services | CAC-MIIT-MPS Order No. 12,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_IDENTITY_EFFECTIVE_DATE_CURRENTNESS_RECHECK_REQUIRED
CN-003,NB05,NB05,CN-003 | CN | REGULATION | CAC/NPC/State Council | Interim Measures for the Management of Generative Artificial Intelligence Services | Multi-agency Order No. 15,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_IDENTITY_EFFECTIVE_DATE_CURRENTNESS_RECHECK_REQUIRED
CN-004,NB05,NB05,CN-004 | CN | LAW | CAC/NPC/State Council | Personal Information Protection Law of the PRC | NPC FLK bbbs ff8081817b6472a3017b656cc2040044,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_CURRENT_NPC_DATABASE
CN-005,NB05,NB05,CN-005 | CN | LAW | CAC/NPC/State Council | Data Security Law of the PRC | NPC FLK bbbs ff80818179f5e0800179f885c7e70392,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_CURRENT_NPC_DATABASE
CN-006,NB05,NB05,CN-006 | CN | LAW | CAC/NPC/State Council | Cybersecurity Law of the PRC — current revised record | NPC FLK bbbs 021e7d7684474107b8f3febbb1c4f8b5,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_CURRENT_NPC_DATABASE_REVISED_2025
CN-007,NB05,NB05,CN-007 | CN | REGULATION | CAC/NPC/State Council | Network Data Security Management Regulation | State Council network-data regulation,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_IDENTITY_EFFECTIVE_DATE_CURRENTNESS_RECHECK_REQUIRED
CN-008,NB05,NB05,CN-008 | CN | REGULATION | CAC/NPC/State Council | Measures for Labeling Artificial-Intelligence-Generated and Synthetic Content | 2025 AI-generated-content labeling measure,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_IDENTITY_EFFECTIVE_DATE_CURRENTNESS_RECHECK_REQUIRED
GB-001,NB05,NB05,GB-001 | GB | REGULATION | UK official source | United Kingdom General Data Protection Regulation (UK GDPR) | Regulation (EU) 2016-679 — United Kingdom General Data Protection Regulation,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS
GB-002,NB05,NB05,GB-002 | GB | LAW | UK official source | Data Protection Act 2018 | 2018 c. 12,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS
GB-003,NB05,NB05,GB-003 | GB | LAW | UK official source | Data (Use and Access) Act 2025 | 2025 c. 18,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS
GB-004,NB05,NB05,GB-004 | GB | LAW | UK official source | Online Safety Act 2023 | 2023 c. 50,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS
GB-005,NB05,NB05,"GB-005 | GB | LAW | UK official source | Digital Markets, Competition and Consumers Act 2024 | 2024 c. 13",URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS
GB-006,NB05,NB05,GB-006 | GB | LAW | UK official source | Consumer Rights Act 2015 | 2015 c. 15,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS
GB-007,NB05,NB05,GB-007 | GB | LAW | UK official source | Consumer Protection Act 1987 | 1987 c. 43,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS
GB-008,NB05,NB05,GB-008 | GB | LAW | UK official source | Product Regulation and Metrology Act 2025 | 2025 c. 20,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS
GB-009,NB05,NB05,GB-009 | GB | POLICY-ESSAY | UK official source | AI Growth Lab | GOV.UK call for evidence — AI Growth Lab,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS
GB-010,NB05,NB05,GB-010 | GB | OFFICIAL-GUIDANCE | UK official source | Regulators’ strategic approaches to AI | GOV.UK regulator-strategy notice 2024,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS
GB-011,NB05,NB05,GB-011 | GB | REGULATORY-GUIDANCE | UK official source | Artificial intelligence — ICO guidance hub | ICO AI guidance hub,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS
GB-012,NB05,NB05,GB-012 | GB | REGULATORY-GUIDANCE | UK official source | AI Foundation Models: initial review | CMA AI Foundation Models initial review,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS
GB-013,NB05,NB05,GB-013 | GB | OFFICIAL-GUIDANCE | UK official source | AI Opportunities Action Plan: government response | UK Government response to AI Opportunities Action Plan 2025,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS
KR-001,NB05,NB05,KR-001 | KR | LAW | Republic of Korea official source | 인공지능 발전과 신뢰 기반 조성 등에 관한 기본법 | law.go.kr lsId=014820 - lsiSeq=282791 - current selector efYd=20260721 - current revision ancNo=21311 ancYd=20260120,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010
KR-002,NB05,NB05,KR-002 | KR | LAW | Republic of Korea official source | 인공지능 발전과 신뢰 기반 조성 등에 관한 기본법 시행령 | law.go.kr lsId=015032 - lsiSeq=288781 - current selector efYd=20260820 - current revision ancNo=36580 ancYd=20260818,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010
KR-003,NB05,NB05,KR-003 | KR | LAW | Republic of Korea official source | 개인정보 보호법 | law.go.kr lsId=011357 - lsiSeq=283839 - current selector efYd=20260911 - current revision ancNo=21445 ancYd=20260310,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010
JP-001,NB05,NB05,JP-001 | JP | LAW | Japan official source | 人工知能関連技術の研究開発及び活用の推進に関する法律 | e-Gov law 507AC0000000053 - 令和七年法律第五十三号 - current revision 507AC0000000053_20250901_000000000000000,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010
JP-002,NB05,NB05,JP-002 | JP | LAW | Japan official source | 個人情報の保護に関する法律 | e-Gov law 415AC0000000057 - current revision 415AC0000000057_20260717_508AC0000000062,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010
JP-003,NB05,NB05,JP-003 | JP | OFFICIAL-GUIDANCE | Japan official source | 人工知能基本計画（第Ⅱ期） | Cabinet Office AI Basic Plan Phase II - Cabinet decision 2026-07-14,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010
JP-004,NB05,NB05,JP-004 | JP | OFFICIAL-GUIDANCE | Japan official source | 人工知能関連技術の研究開発及び活用の適正性確保に関する指針 | Cabinet Office - AI Strategy Headquarters guideline decision 2025-12-19,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010
JP-005,NB05,NB05,JP-005 | JP | REGULATORY-GUIDANCE | Japan official source | AI事業者ガイドライン Ver.1.2 | AI Guidelines for Business Ver.1.2 - MIC-METI current listing 2026-03-31,URL_DIRECT_PREFERRED,,READY_URL,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010
