entity,consent_state,cets225_in_force_for_entity,article3_private_actor_route,territorial_declaration,domestic_implementation_state,independent_law_note,claim_state
Republic of Moldova,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,NO_CURRENT_DECLARATION_DISPLAYED,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
San Marino,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,NO_CURRENT_DECLARATION_DISPLAYED,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
Switzerland,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,NO_CURRENT_DECLARATION_DISPLAYED,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
Ukraine,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,OTHER_APPROPRIATE_MEASURES_FOR_PRIVATE_ENTITIES,ARTICLE_32_1_TEMPORARILY_OCCUPIED_TERRITORY_DECLARATION,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
United Kingdom,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,NO_CURRENT_DECLARATION_DISPLAYED,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
Canada,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,NO_CURRENT_DECLARATION_DISPLAYED,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
European Union,APPROVAL_DEPOSITED,NO_TREATY_WIDE_ENTRY_INTO_FORCE,CHAPTERS_II_VI_VIA_EU_AI_ACT_AND_OTHER_RELEVANT_UNION_ACQUIS,ARTICLE_32_1_EU_TREATY_TERRITORIAL_SCOPE_DECLARATION,DECLARED_ROUTE_VERIFIED_CONCRETE_TREATY_EFFECT_NOT_YET_IN_FORCE,EU_AI_ACT_AND_OTHER_UNION_LAW_MAY_APPLY_INDEPENDENTLY_OF_CETS225_ENTRY_INTO_FORCE,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
Israel,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,NO_CURRENT_DECLARATION_DISPLAYED,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
Japan,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,NO_CURRENT_DECLARATION_DISPLAYED,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
United States of America,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,NO_CURRENT_DECLARATION_DISPLAYED,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
Uruguay,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,NO_CURRENT_DECLARATION_DISPLAYED,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
